Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;1001;
1419905499.5004994869;-88.94310760498046875;-91.09808349609375
1419906498.5014984608;-87.1434783935546875;-89.113525390625
1419907497.5024974346;-86.56597900390625;-88.285186767578125
1419908496.5034964085;-86.85602569580078125;-88.25653076171875
1419909495.5044953823;-88.2569732666015625;-91.70160675048828125
1419910494.5054943562;-88.91054534912109375;-92.55328369140625
1419911493.50649333;-87.7795867919921875;-92.39288330078125
1419912492.5074923038;-87.46044921875;-92.02678680419921875
1419913491.5084912777;-87.65888214111328125;-93.1934814453125
1419914490.5094902515;-87.80107879638671875;-91.62921142578125
1419915489.5104892254;-86.1093597412109375;-94.37799835205078125
1419916488.5114881992;-85.9548187255859375;-93.7239227294921875
1419917487.5124871731;-86.62400054931640625;-94.12485504150390625
1419918486.5134861469;-87.8482666015625;-93.2596282958984375
1419919485.5144851208;-87.01729583740234375;-92.58094024658203125
1419920484.5154840946;-87.15570831298828125;-94.58109283447265625
1419921483.5164830685;-89.50783538818359375;-95.97637939453125
1419922482.5174820423;-90.04854583740234375;-100.6095123291015625
1419923481.5184810162;-86.270355224609375;-93.162750244140625
1419924480.51947999;-85.07503509521484375;-89.24600982666015625
1419925479.5204789639;-85.0611724853515625;-86.575042724609375
1419926478.5214779377;-83.6888580322265625;-87.4706268310546875
1419927477.5224769115;-82.8612823486328125;-90.1658935546875
1419928476.5234758854;-83.17486572265625;-92.4723052978515625
1419929475.5244748592;-86.16771697998046875;-95.42529296875
1419930474.5254738331;-85.14836883544921875;-99.01648712158203125
1419931473.5264728069;-85.06224822998046875;-96.27791595458984375
1419932472.5274717808;-86.3978424072265625;-92.12708282470703125
1419933471.5284707546;-89.160369873046875;-95.3471221923828125
1419934470.5294697285;-88.11667633056640625;-92.411102294921875
1419935469.5304687023;-88.4322357177734375;-93.0576324462890625
1419936468.5314676762;-88.784698486328125;-93.333526611328125
1419937467.53246665;-86.71144866943359375;-93.38347625732421875
1419938466.5334656239;-85.8204193115234375;-99.174285888671875
1419939465.5344645977;-84.8768310546875;-100.0532379150390625
1419940464.5354635715;-83.3784637451171875;-93.07559967041015625
