Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;10000.000000;Hz
VBW;10000.000000;Hz
SWT;0.000419;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;1001;
1419905499.5004994869;-105.0223236083984375;-105.0223236083984375
1419906498.5014984608;-106.010040283203125;-106.010040283203125
1419907497.5024974346;-107.41464996337890625;-107.41464996337890625
1419908496.5034964085;-109.35155487060546875;-109.35155487060546875
1419909495.5044953823;-112.023956298828125;-112.023956298828125
1419910494.5054943562;-115.85833740234375;-115.85833740234375
1419911493.50649333;-122.0963287353515625;-122.0963287353515625
1419912492.5074923038;-139.1573944091796875;-139.1573944091796875
1419913491.5084912777;-126.18482208251953125;-126.18482208251953125
1419914490.5094902515;-121.13707733154296875;-121.13707733154296875
1419915489.5104892254;-119.01508331298828125;-119.01508331298828125
1419916488.5114881992;-117.8901214599609375;-117.8901214599609375
1419917487.5124871731;-116.856353759765625;-116.856353759765625
1419918486.5134861469;-115.38037872314453125;-115.38037872314453125
1419919485.5144851208;-113.46988677978515625;-113.46988677978515625
1419920484.5154840946;-111.44182586669921875;-111.44182586669921875
1419921483.5164830685;-109.54170989990234375;-109.54170989990234375
1419922482.5174820423;-107.8754730224609375;-107.8754730224609375
1419923481.5184810162;-106.4765472412109375;-106.4765472412109375
1419924480.51947999;-105.3562774658203125;-105.3562774658203125
1419925479.5204789639;-104.52436065673828125;-104.52436065673828125
1419926478.5214779377;-103.99613189697265625;-103.99613189697265625
1419927477.5224769115;-103.79520416259765625;-103.79520416259765625
1419928476.5234758854;-103.95735931396484375;-103.95735931396484375
1419929475.5244748592;-104.537689208984375;-104.537689208984375
1419930474.5254738331;-105.6255035400390625;-105.6255035400390625
1419931473.5264728069;-107.3726043701171875;-107.3726043701171875
1419932472.5274717808;-110.03675079345703125;-110.03675079345703125
1419933471.5284707546;-113.810089111328125;-113.810089111328125
1419934470.5294697285;-115.89147186279296875;-115.89147186279296875
1419935469.5304687023;-112.26638031005859375;-112.26638031005859375
1419936468.5314676762;-108.5042572021484375;-108.5042572021484375
1419937467.53246665;-105.82220458984375;-105.82220458984375
1419938466.5334656239;-103.9163970947265625;-103.9163970947265625
1419939465.5344645977;-102.551300048828125;-102.551300048828125
1419940464.5354635715;-101.58768463134765625;-101.58768463134765625
