Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;1001;
1419905499.5004994869;-85.9837493896484375;-91.22873687744140625
1419906498.5014984608;-84.05989837646484375;-88.46244049072265625
1419907497.5024974346;-83.3519744873046875;-85.6862945556640625
1419908496.5034964085;-83.669921875;-85.9826812744140625
1419909495.5044953823;-84.7928009033203125;-92.424957275390625
1419910494.5054943562;-86.25798797607421875;-97.85033416748046875
1419911493.50649333;-83.7457427978515625;-93.845184326171875
1419912492.5074923038;-82.55835723876953125;-93.76665496826171875
1419913491.5084912777;-82.62342071533203125;-92.59766387939453125
1419914490.5094902515;-83.9481201171875;-91.9662322998046875
1419915489.5104892254;-87.3023223876953125;-97.0277862548828125
1419916488.5114881992;-90.4329376220703125;-95.39049530029296875
1419917487.5124871731;-86.94310760498046875;-94.4140777587890625
1419918486.5134861469;-86.44329071044921875;-93.22843170166015625
1419919485.5144851208;-86.7110595703125;-91.4239959716796875
1419920484.5154840946;-86.520477294921875;-90.07941436767578125
1419921483.5164830685;-84.3794097900390625;-90.96541595458984375
1419922482.5174820423;-83.06462860107421875;-96.3874053955078125
1419923481.5184810162;-83.05065155029296875;-95.56402587890625
1419924480.51947999;-84.4174346923828125;-90.25046539306640625
1419925479.5204789639;-85.28701019287109375;-90.03045654296875
1419926478.5214779377;-85.70243072509765625;-91.33263397216796875
1419927477.5224769115;-89.49688720703125;-93.6458282470703125
1419928476.5234758854;-89.18053436279296875;-93.35376739501953125
1419929475.5244748592;-86.51207733154296875;-90.22670745849609375
1419930474.5254738331;-85.5880584716796875;-93.92144012451171875
1419931473.5264728069;-85.88002777099609375;-96.009185791015625
1419932472.5274717808;-89.92331695556640625;-94.91253662109375
1419933471.5284707546;-88.82384490966796875;-90.95900726318359375
1419934470.5294697285;-88.77249908447265625;-90.61432647705078125
1419935469.5304687023;-88.78052520751953125;-91.01663970947265625
1419936468.5314676762;-86.6928253173828125;-91.21892547607421875
1419937467.53246665;-85.0551910400390625;-95.96648406982421875
1419938466.5334656239;-85.20656585693359375;-104.83339691162109375
1419939465.5344645977;-86.749267578125;-92.36611175537109375
1419940464.5354635715;-87.82277679443359375;-89.38147735595703125
