Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420300000.000000;Hz
Freq Offset;0.000000;Hz
Start;1418400000.000000;Hz
Stop;1422200000.000000;Hz
Span;3800000.000000;Hz
Ref Level;1.857600;dBm
Level Offset;0.000000;dB
Rf Att;11.000000;dB
El Att;0.000000;dB
RBW;50000.000000;Hz
VBW;50000.000000;Hz
SWT;0.001010;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;75.000000;%
Level Range;90.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;1001;
1418401898.1018981934;-91.46161651611328125;-91.46161651611328125
1418405694.3056943417;-91.534912109375;-91.534912109375
1418409490.50949049;-91.98818206787109375;-91.98818206787109375
1418413286.7132866383;-92.9725341796875;-92.9725341796875
1418417082.9170827866;-93.9847412109375;-93.9847412109375
1418420879.1208789349;-94.80283355712890625;-94.80283355712890625
1418424675.3246750832;-94.59096527099609375;-94.59096527099609375
1418428471.5284712315;-93.79169464111328125;-93.79169464111328125
1418432267.7322673798;-93.14798736572265625;-93.14798736572265625
1418436063.9360635281;-92.71576690673828125;-92.71576690673828125
1418439860.1398596764;-92.46639251708984375;-92.46639251708984375
1418443656.3436558247;-92.38481903076171875;-92.38481903076171875
1418447452.547451973;-92.38481903076171875;-92.38481903076171875
1418451248.7512481213;-92.3848114013671875;-92.3848114013671875
1418455044.9550442696;-92.30400848388671875;-92.30400848388671875
1418458841.1588404179;-91.98812103271484375;-91.98812103271484375
1418462637.3626365662;-91.60875701904296875;-91.60875701904296875
1418466433.5664327145;-91.034271240234375;-91.034271240234375
1418470229.7702288628;-90.36579132080078125;-90.36579132080078125
1418474025.9740250111;-89.80521392822265625;-89.80521392822265625
1418477822.1778211594;-89.3355865478515625;-89.3355865478515625
1418481618.3816173077;-89.0544586181640625;-89.0544586181640625
1418485414.585413456;-88.9445037841796875;-88.9445037841796875
1418489210.7892096043;-88.94449615478515625;-88.94449615478515625
1418493006.9930057526;-88.94449615478515625;-88.94449615478515625
1418496803.1968019009;-88.99929046630859375;-88.99929046630859375
1418500599.4005980492;-89.05443572998046875;-89.05443572998046875
1418504395.6043941975;-88.9992828369140625;-88.9992828369140625
1418508191.8081903458;-88.83589935302734375;-88.83589935302734375
1418511988.0119864941;-88.675537109375;-88.675537109375
1418515784.2157826424;-88.57025146484375;-88.57025146484375
1418519580.4195787907;-88.57024383544921875;-88.57024383544921875
1418523376.623374939;-88.6755218505859375;-88.6755218505859375
1418527172.8271710873;-88.9992523193359375;-88.9992523193359375
1418530969.0309672356;-89.62603759765625;-89.62603759765625
1418534765.2347633839;-90.69351959228515625;-90.69351959228515625
